,"We can best price buy from Apple stores OEM unlocked, , but we need  receipt, cannot be blacklisted. Please ask us for the price.",,,,,,,,,,
,"Please do not share list, for certain model with qty ,we do price match be higher than others",,,,,,,,,,
,"Hongkong office:Unit 2503-2505,25F, no.1 Hung To Road, Kwun Tong, Kowloon, Hong Kong",,,,,,,,,,
,Verizon/flex/AT&T=locked price now  due to unlock service down,,,,,,,,,,
,"WE DON’T Buy Xfinity / Dish/Verizon / T-Mobile  Boost Unlocked Phones DON’T unlocking  Them ,Will relocked",,,,,,,,,,
,"we buy all electronic products / brand mechanical watch /IC,if not on the price list ,please ask,will offer good price ",,,,,,,,,,
,"Minimum quantity 20pcs,we provide fedex shipping label (if less ,then seller need pay shipping fee $50)",,,,,,,,,,
,"Price vaild for daily shipping (according the fedex receit date)only,if not ship today ,will be count as the day what you shipped ",,,,,,,,,,
,Payment by Bank wire transfer /paypal friend way (no fee)/china bank rmb transfer USDT By TRC20,,,,,,,,,,
,"Cash be offered in those cities New york /Atlanta /Chicago/Texas/Houston/PA/FL/SC/OH/TN，if you can do cash,we can pay highter price",,,,,,,,,,
,"Note:1: Allseaeld ,if phones found not working ,must accept return &deduction- no time limit ",,,,,,,,,,
,"     2:Relocked, must accpet return & deduction accordingly- no time limit (we do not buy sprint unlocked)",,,,,,,,,,
,"     3:Configuaration locked  & SSN locked , must accpet return - no time limit ",,,,,,,,,,
,"     4:New open box must be actived in 45 days , if over 45 days will check as A grade ",,,,,,,,,,
,"     5:Locked blacklist need -$50 , unlocked blacklisrt need -$80",,,,,,,,,,
,"     6;iPhone LOCKED PHONE MDM -ASK , UNLOCKED  MDM ASK",,,,,,,,,,.
,     7: Flex bad imei =locked price ,,,,,,,,,,
, ,,,,,,,,,,
,sealed,"open box ,but devices no-active the same as sealed acceroies need no used(origial)",,,,,,,,,
,open,"locked -activated < 60days /unlocked-activated < 30days,charging times not over 2 times  ,acceroies need no used(origial)",,,,,,,,,
,A Grade,"No scratches on screen or housing. No dents, no scuffs, like new, need up 100 % battery health, charging times not over 10 times ",,,,,,,,,
,B+ grade,"like new light scratches, need up 90% battery health, charging times not over 50 times",,,,,,,,,
,B Grade,"Fully functional, have scratches, no dents, need up 80% battery health",,,,,,,,,
,C Grade,"Fully functional, have heavy scratches on screen, or dents, or cracked LCD glass",,,,,,,,,
,D Grade,"Bad touch screen, Bad LCD, not original LCD, housing bent",,,,,,,,,
,iPhone 17 Pro Max Unlocked ,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$100, crack back-$150, crack back-$80,,
,iPhone 17 Pro Max Unlocked 256GB Blue,1100,1000,920,900,870,840,,,,
,iPhone 17 Pro Max Unlocked 256GB Other,1130,1000,,,,,,,,
,iPhone 17 Pro Max Unlocked 512GB Blue,1260,1160,1050,1020,990,960,,,,
,iPhone 17 Pro Max Unlocked 512GB Other,1280,1160,,,,,,,,
,iPhone 17 Pro Max Unlocked 1TB  Blue,1440,1340,1180,1150,1120,1090,,,,
,iPhone 17 Pro Max Unlocked 1TB  Other,1460,1340,,,,,,,,
,iPhone 17 Pro Max Unlocked 2TB Blue,1620,1520,1300,1270,1240,1210,,,,
,iPhone 17 Pro Max Unlocked 2TB  Other,1640,1520,,,,,,,,
,"iPhone 17 Pro Max Cricket-100, FLEX+ASK",sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 17 Pro Max 256GB US Spec Locked/flex /verizon,880  OR+30,880,850,820,790,760,,,,
,iPhone 17 Pro Max 512GB US Spec Locked/flex/verizon,940,940,910,880,850,820,,,,
,iPhone 17 Pro Max 1TB US Spec Locked/flex/verizon,1040,1040,1000,970,940,910,,,,
,iPhone 17 Pro Max 2TB US Spec Locked/flex/verizon,1160,1160,1120,1080,1050,1020,,,,
,,,,,,,,,,,
,iPhone 17 Pro Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$100, crack back-$130, crack back-$80,,
,iPhone 17 Pro Unlocked 256GB Blue,950,850,800,770,740,710,,,,
,iPhone 17 Pro Unlocked 256GB Other（OR+SL）,960,850,,,,,,,,
,iPhone 17 Pro Unlocked 512GB Blue,1130,1030,930,900,870,840,,,,
,iPhone 17 Pro Unlocked 512GB Other（OR+SL）,1140,1030,,,,,,,,
,iPhone 17 Pro Unlocked 1TB  Blue,1240,1140,1030,1000,970,940,,,,
