"Price","Title","Location","Link"
"$690","iPhone 15 pro Max unlocked","Austin, TX","https://www.facebook.com/marketplace/item/1614771639485373/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 14 Pro Max 128gb Deep Purple A2651","New Braunfels, TX","https://www.facebook.com/marketplace/item/1851465162430388/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 15 Pro","Cedar Park, TX","https://www.facebook.com/marketplace/item/1460929651645874/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 14 Pro Max 128gb","Austin, TX","https://www.facebook.com/marketplace/item/1412796126932259/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","Apple IPhone Air Skyblue -256GB - AT&T Locked","New Braunfels, TX","https://www.facebook.com/marketplace/item/1813890430013103/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","Apple iPhone 15 Pro Max - 256 GB - White (Unlocked) (Single SIM)","Pflugerville, TX","https://www.facebook.com/marketplace/item/1795894847979302/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$540","iPhone 14 Pro Max - 256gb - Unlocked - Purple","Austin, TX","https://www.facebook.com/marketplace/item/1647156742930225/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","Iphone 15 Pro UNLOCKED if payed off and takes 24 hrs ATT Locked","Georgetown, TX","https://www.facebook.com/marketplace/item/1170318094953443/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","Iphone 15 Pro Max Unlocked","Austin, TX","https://www.facebook.com/marketplace/item/4301073323483737/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone apple","Austin, TX","https://www.facebook.com/marketplace/item/1470522090806475/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","iPhone 16 pro 256 gb Sim Tray model A3292 UNLOCKED in MINT condition.","Round Rock, TX","https://www.facebook.com/marketplace/item/786628171202917/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$80","iPhone 17 pro max liberado a pagos","Austin, TX","https://www.facebook.com/marketplace/item/820228483715121/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$550","iPhone 15 plus 256 GB","Manor, TX","https://www.facebook.com/marketplace/item/1994265334761509/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$700","It's a iPhone 15 pro Max has a cracked screen. Other than that it's good","Cedar Creek, TX","https://www.facebook.com/marketplace/item/1300538611799512/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$750","iPhone 16 Pro 256GB Desert Titanium","Austin, TX","https://www.facebook.com/marketplace/item/1834824650457089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$135","iPhone 16 e","Austin, TX","https://www.facebook.com/marketplace/item/718542981276007/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$880","iPhone 16 pro Max Unlocked liberado","Austin, TX","https://www.facebook.com/marketplace/item/693581783808738/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$875","Iphone 16 pro unlocked - black","Austin, TX","https://www.facebook.com/marketplace/item/2767095990297290/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 14 Pro Max Unlocked","Austin, TX","https://www.facebook.com/marketplace/item/799895219490633/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","Iphone 15 Pro max AT&T Cricket","Buda, TX","https://www.facebook.com/marketplace/item/2048376395899260/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$700","Gray Galaxy Z fold6 - 256GB","Seguin, TX","https://www.facebook.com/marketplace/item/1384780769982802/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 16","Bulverde, TX","https://www.facebook.com/marketplace/item/1047001470812077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 14 Pro 256GB UNLOCKED","Austin, TX","https://www.facebook.com/marketplace/item/875660084888757/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$425","iPhone 14 Pro Max 256 GB (gold)","San Antonio, TX","https://www.facebook.com/marketplace/item/1179390590736675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$1,750","iPhone 17 Pro Max - 512gb","Austin, TX","https://www.facebook.com/marketplace/item/1779295636029737/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$700","Barely Used Aquamarine iPhone 16","Cedar Creek, TX","https://www.facebook.com/marketplace/item/751631943948820/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$120","iPhone 8 / X / 11 / 12 / 13 / 14 / 15 / 16 / Plus / Pro / Pro Max","San Marcos, TX","https://www.facebook.com/marketplace/item/811006298295077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","iPhone 16 Pro Max Unlocked","Manor, TX","https://www.facebook.com/marketplace/item/1450423162717207/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$250","iPhone 13","Pflugerville, TX","https://www.facebook.com/marketplace/item/1476744430138005/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","iPhone 16 Pro 512GB","Taylor, TX","https://www.facebook.com/marketplace/item/1850509682525275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$1,699","iPhone 17 pro Max","Round Rock, TX","https://www.facebook.com/marketplace/item/794885599817177/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$750","iPhone 16 pro","Austin, TX","https://www.facebook.com/marketplace/item/591887373767866/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","Iphone 15 Pro max AT&T cricket","Buda, TX","https://www.facebook.com/marketplace/item/4515822998645322/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$490","iPhone 15 Plus 128GB Unlocked For Any Carrier","Austin, TX","https://www.facebook.com/marketplace/item/1166135988792178/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$100","IPhone 13 Forest Green","Lakeway, TX","https://www.facebook.com/marketplace/item/1815891355702551/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 16 Plus 128gb Cricket","Austin, TX","https://www.facebook.com/marketplace/item/1897427327871373/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$950","iPhone 16 Pro Max 256gb","Austin, TX","https://www.facebook.com/marketplace/item/837027102081820/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$550","Iphone 13promax","Austin, TX","https://www.facebook.com/marketplace/item/1343997064188113/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","Alpine Green iPhone 13 Pro Max 128Gb Unlocked Grade A+","Austin, TX","https://www.facebook.com/marketplace/item/3269945466492942/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$475","Apple iPhone 16 Pro Max Brand New","Ships to you","https://www.facebook.com/marketplace/item/4132439723637677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","iPhone 13 Pro Max","Round Rock, TX","https://www.facebook.com/marketplace/item/801423982622054/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$580","iPhone 14 Pro - 128GB","Austin, TX","https://www.facebook.com/marketplace/item/836465272652662/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$650","iPhone 15 Pro 128GB Unlocked","Kyle, TX","https://www.facebook.com/marketplace/item/4167429090241619/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","Iphone 15 pro Max AT&T Cricket","Austin, TX","https://www.facebook.com/marketplace/item/801733062592784/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","Iphone 13 Pro Max 128GB","New Braunfels, TX","https://www.facebook.com/marketplace/item/1349674996698938/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$950","Iphone 16 Pro max New AT&T Cricket natural titanium","Buda, TX","https://www.facebook.com/marketplace/item/1486619602618792/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$650","iPhone 16 256 Black","New Braunfels, TX","https://www.facebook.com/marketplace/item/679773868504108/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$885","iPhone 16 Pro 128GB Natural Titanium Fully Unlocked Brand New condition","San Marcos, TX","https://www.facebook.com/marketplace/item/1311150076897673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$670","Iphone 16 unlocked liberado","Buda, TX","https://www.facebook.com/marketplace/item/2053745552104245/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$750","iPhone 16 Pro AT&T cricket 256 gb new","Buda, TX","https://www.facebook.com/marketplace/item/2013684162779990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$670","iPhone 16 unlocked","Buda, TX","https://www.facebook.com/marketplace/item/1480230966576260/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
